segment_id,lat,lon,score,level,message,coherence,is_reliable
TOMEI_0032,35.15370762209405,138.61739487403136,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.10837270319461823,False
TOMEI_0033,35.160153153086014,138.75129197070567,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.10837270319461823,False
TOMEI_0034,35.157053232837235,138.76160755353703,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.10837270319461823,False
TOMEI_0035,35.15405472824514,138.7765354007451,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.10837270319461823,False
TOMEI_0036,35.149134,138.7949984273394,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.10837270319461823,False
TOMEI_0037,35.147230922775684,138.8057121168155,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.10837270319461823,False
TOMEI_0038,35.14791455655733,138.81882846494887,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.10837270319461823,False
TOMEI_0039,35.14598295658358,138.86085681764666,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.10837270319461823,False
TOMEI_0040,35.154231153775065,138.87503120115034,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.10837270319461823,False
TOMEI_0041,35.166136011872844,138.8910576540307,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.10837270319461823,False
TOMEI_0042,35.1801635740552,138.8996174753667,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.10837270319461823,False
TOMEI_0043,35.19408813727094,138.90333265341553,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.10837270319461823,False
TOMEI_0050,35.3502715833034,138.98274126331762,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0051,35.354936664502304,138.98568063941264,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0052,35.358787675656444,138.99010484979232,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0053,35.35779505308521,138.9964504434593,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0054,35.3563193734973,139.00236699064425,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0055,35.355308487182604,139.00799217509072,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0056,35.35791799381974,139.01362813428534,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0057,35.36074714911521,139.01922364376935,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0058,35.36487314921141,139.02342878754496,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0059,35.36920214782547,139.0268690794174,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0060,35.3689863926928,139.0333120620693,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0061,35.370877821633506,139.03922972733739,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0062,35.36965387789407,139.04564711792182,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0063,35.36865194120666,139.05436355290843,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0064,35.36791691852378,139.06087612029316,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0065,35.364877644515275,139.06627741566746,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0066,35.36275726628786,139.07468968384256,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0067,35.36437045594818,139.08086506675338,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0068,35.365081258772946,139.08725413644015,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0069,35.36693805986998,139.09333764161283,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0070,35.367314200054416,139.09972330457862,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0071,35.36273282138,139.10287047565984,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0072,35.35936349762683,139.1079061705213,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0073,35.35618137439576,139.11321974524904,0,green,コヒーレンス低下 (0.11) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.11028334498405457,False
TOMEI_0074,35.353957893818716,139.12157518497537,0,green,コヒーレンス低下 (0.23) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.23335477709770203,False
TOMEI_0075,35.35095573534465,139.13186551068358,0,green,コヒーレンス低下 (0.23) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.23335477709770203,False
TOMEI_0076,35.34973295883294,139.13828137704985,0,green,コヒーレンス低下 (0.23) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.23335477709770203,False
TOMEI_0077,35.34888298566433,139.14700945386423,0,green,コヒーレンス低下 (0.23) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.23335477709770203,False
TOMEI_0078,35.34655216564388,139.15291860497376,0,green,コヒーレンス低下 (0.23) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.23335477709770203,False
TOMEI_0079,35.34156537685367,139.15921758828316,0,green,コヒーレンス低下 (0.23) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.23335477709770203,False
TOMEI_0080,35.34009744310208,139.16768726951926,0,green,コヒーレンス低下 (0.07) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.06672926247119904,False
TOMEI_0081,35.33835543659916,139.17618610437648,0,green,コヒーレンス低下 (0.07) - 信頼性が低い [東名: SAR+DEM+気象+地質+履歴],0.06672926247119904,False
TOMEI_0082,35.34214272518806,139.20169657319232,0,green,コヒーレンス低下 (0.07) - 信頼性が低い [東名: SAR+DEM+気象+地質],0.06672926247119904,False
