slope_id,road,ic_from,ic_to,direction,kp_from,kp_to,kp_center,length_m,tiers,lat,lon
NORI_0041,新東名高速道路,新静岡,藤枝岡部,下り線,127.546,127.606,127.576,60.0,4,35.00675415486578,138.31222227254827
NORI_0042,新東名高速道路,新静岡,藤枝岡部,上り線,127.591,127.736,127.6635,145.0,5,35.006231442614656,138.3114231359258
NORI_0043,新東名高速道路,新静岡,藤枝岡部,上下線共有,127.611,127.709,127.66,98.0,5,35.0062523511047,138.3114551013907
NORI_0044,新東名高速道路,新静岡,藤枝岡部,上り線,127.703,127.766,127.7345,63.0,3,35.005766692152974,138.31081906056502
NORI_0045,新東名高速道路,新静岡,藤枝岡部,上り線,127.704,127.722,127.713,18.0,1,35.00591230299951,138.31099665668185
NORI_0046,新東名高速道路,新静岡,藤枝岡部,上り線,127.733,127.79,127.76150000000001,57.0,1,35.005583832020115,138.31059603288344
NORI_0047,新東名高速道路,新静岡,藤枝岡部,上り線,127.898,127.928,127.913,30.0,1,35.004557783496836,138.3093445997812
NORI_0048,新東名高速道路,新静岡,藤枝岡部,下り線,127.872,127.923,127.89750000000001,51.0,2,35.00466275875829,138.30947263419102
NORI_0049,新東名高速道路,新静岡,藤枝岡部,上り線,127.934,128.004,127.969,70.0,2,35.004178518036085,138.30888202384904
NORI_0050,新東名高速道路,新静岡,藤枝岡部,上下線共有,127.909,127.991,127.95,82.0,1,35.00430719738884,138.3090389692546
NORI_0051,新東名高速道路,新静岡,藤枝岡部,下り線,128.698,128.959,128.82850000000002,261.0,1,34.99762559685894,138.3028580863584
NORI_0052,新東名高速道路,新静岡,藤枝岡部,下り線,128.766,129.066,128.916,300.0,10,34.996890120423096,138.30236865798244
NORI_0053,新東名高速道路,新静岡,藤枝岡部,下り線,128.758,129.113,128.9355,355.0,4,34.99672621424596,138.30225958537292
NORI_0054,新東名高速道路,新静岡,藤枝岡部,上り線,128.988,129.025,129.00650000000002,37.0,1,34.996129427652306,138.301862449205
NORI_0055,新東名高速道路,新静岡,藤枝岡部,上下線共有,129.674,129.84,129.757,166.0,2,34.98962411085854,138.2981529049348
NORI_0056,新東名高速道路,新静岡,藤枝岡部,上り線,129.78,129.865,129.8225,85.0,3,34.98904104824554,138.29787130193904
NORI_0057,新東名高速道路,新静岡,藤枝岡部,下り線,129.804,129.949,129.87650000000002,145.0,11,34.98856035540428,138.29763914069062
NORI_0058,新東名高速道路,新静岡,藤枝岡部,下り線,129.929,129.963,129.946,34.0,1,34.987941685914144,138.29734034056534
NORI_0059,新東名高速道路,新静岡,藤枝岡部,下り線,129.968,129.989,129.9785,21.0,1,34.98765238003746,138.29720061388807
NORI_0060,新東名高速道路,新静岡,藤枝岡部,下り線,130.072,130.126,130.099,54.0,6,34.986579722863915,138.2966825503615
NORI_0061,新東名高速道路,新静岡,藤枝岡部,下り線,130.216,130.408,130.312,192.0,9,34.984655385107246,138.29586389023967
NORI_0062,新東名高速道路,新静岡,藤枝岡部,上り線,130.234,130.377,130.3055,143.0,1,34.984714714254814,138.29588679442745
NORI_0063,新東名高速道路,新静岡,藤枝岡部,上り線,130.377,130.586,130.4815,209.0,1,34.983098572739834,138.29530909819306
NORI_0064,新東名高速道路,新静岡,藤枝岡部,下り線,130.441,130.511,130.476,70.0,5,34.98314975567625,138.29532417698346
NORI_0065,新東名高速道路,新静岡,藤枝岡部,下り線,130.511,130.71,130.6105,199.0,6,34.98189810023124,138.29495543201833
NORI_0066,新東名高速道路,新静岡,藤枝岡部,上り線,130.586,130.626,130.606,40.0,1,34.981939977179216,138.29496776921047
NORI_0067,新東名高速道路,新静岡,藤枝岡部,上り線,130.681,130.926,130.80349999999999,245.0,15,34.980089610950444,138.29450066445588
NORI_0068,新東名高速道路,新静岡,藤枝岡部,下り線,130.71,130.915,130.8125,205.0,4,34.98000463330656,138.29448330892066
NORI_0069,新東名高速道路,新静岡,藤枝岡部,上り線,130.996,131.109,131.0525,113.0,10,34.977738443524494,138.29402140536536
NORI_0070,新東名高速道路,新静岡,藤枝岡部,上り線,131.145,131.264,131.2045,119.0,10,34.97629993748185,138.29375370010106
NORI_0071,新東名高速道路,新静岡,藤枝岡部,上下線共有,131.589,132.144,131.8665,555.0,1,34.97005768001081,138.2924215774788
NORI_0072,新東名高速道路,新静岡,藤枝岡部,上り線,131.609,132.142,131.8755,533.0,1,34.96997394589217,138.2923968073624
NORI_0073,新東名高速道路,新静岡,藤枝岡部,下り線,131.866,132.066,131.966,140.0,10,34.9691319528103,138.29214773008104
NORI_0074,新東名高速道路,新静岡,藤枝岡部,下り線,132.039,132.126,132.08249999999998,87.0,4,34.96804806116347,138.29182709468571
NORI_0075,新東名高速道路,新静岡,藤枝岡部,下り線,132.223,132.273,132.248,50.0,4,34.96652856411294,138.29128282095962
NORI_0076,新東名高速道路,新静岡,藤枝岡部,下り線,132.239,132.274,132.25650000000002,35.0,1,34.96645096729434,138.291252924488
NORI_0077,新東名高速道路,新静岡,藤枝岡部,上下線共有,132.231,132.286,132.2585,55.0,1,34.966432709219376,138.29124589002407
NORI_0078,新東名高速道路,新静岡,藤枝岡部,上下線共有,132.133,132.468,132.3005,335.0,5,34.96604928964512,138.29109816628184
NORI_0079,新東名高速道路,新静岡,藤枝岡部,上り線,132.36,132.402,132.381,42.0,4,34.96531440212781,138.29081502910927
NORI_0080,新東名高速道路,新静岡,藤枝岡部,下り線,132.378,132.535,132.4565,157.0,3,34.96463470809546,138.2905157029642
NORI_0081,新東名高速道路,新静岡,藤枝岡部,下り線,132.387,132.408,132.39749999999998,21.0,1,34.96516377300935,138.29075699478196
NORI_0082,新東名高速道路,新静岡,藤枝岡部,下り線,134.869,134.961,134.91500000000002,92.0,5,34.94275252215422,138.2799472034439
NORI_0083,新東名高速道路,新静岡,藤枝岡部,上り線,134.903,135.091,134.997,188.0,6,34.9420112824096,138.27963190935407
NORI_0084,新東名高速道路,新静岡,藤枝岡部,下り線,134.915,135.081,134.998,166.0,3,34.94200224290052,138.27962806430418
NORI_0085,新東名高速道路,新静岡,藤枝岡部,上り線,134.956,135.039,134.9975,83.0,1,34.94200676265506,138.27962998682912
NORI_0086,新東名高速道路,新静岡,藤枝岡部,上下線共有,135.12,135.463,135.29149999999998,343.0,2,34.939332495676894,138.27856032688337
NORI_0087,新東名高速道路,新静岡,藤枝岡部,下り線,135.307,135.399,135.353,92.0,6,34.93877176666463,138.27834137555476
NORI_0088,新東名高速道路,新静岡,藤枝岡部,上下線共有,135.484,135.716,135.60000000000002,232.0,2,34.93652086821456,138.27745772159693
NORI_0089,新東名高速道路,新静岡,藤枝岡部,下り線,135.516,135.955,135.7355,439.0,4,34.93529020312637,138.27695797579324
NORI_0090,新東名高速道路,新静岡,藤枝岡部,下り線,135.516,135.736,135.62599999999998,220.0,10,34.93628399105214,138.27736448054335
NORI_0091,新東名高速道路,新静岡,藤枝岡部,下り線,135.736,135.982,135.85899999999998,246.0,12,34.93417542828073,138.27647758719877
NORI_0092,新東名高速道路,新静岡,藤枝岡部,上り線,135.533,135.664,135.5985,131.0,4,34.9365345342047,138.2774631008885
NORI_0093,新東名高速道路,新静岡,藤枝岡部,上り線,135.674,135.691,135.6825,17.0,1,34.935769238756905,138.27716186056148
NORI_0094,新東名高速道路,新静岡,藤枝岡部,上り線,135.727,135.749,135.738,22.0,1,34.93526763683395,138.27694825132778
NORI_0095,新東名高速道路,新静岡,藤枝岡部,上下線共有,135.709,136.209,135.959,500.0,1,34.93327277658386,138.27608860857976
NORI_0096,新東名高速道路,新静岡,藤枝岡部,上り線,135.753,135.989,135.87099999999998,236.0,2,34.93406711007711,138.27643090976449
NORI_0097,新東名高速道路,新静岡,藤枝岡部,下り線,136.078,136.278,136.178,200.0,10,34.93129881047279,138.27522761782325
NORI_0098,新東名高速道路,新静岡,藤枝岡部,上り線,136.132,136.161,136.1465,29.0,2,34.931580304652236,138.2753592736691
NORI_0099,新東名高速道路,新静岡,藤枝岡部,上り線,136.18,136.207,136.1935,27.0,2,34.93116133766346,138.27515949295244
NORI_0100,新東名高速道路,新静岡,藤枝岡部,上り線,136.202,136.308,136.255,106.0,1,34.93061588103291,138.27488919104567
NORI_0101,新東名高速道路,新静岡,藤枝岡部,上り線,136.207,136.24,136.2235,33.0,1,34.930895261258314,138.27502763836378
NORI_0102,新東名高速道路,新静岡,藤枝岡部,上り線,136.298,136.333,136.3155,35.0,2,34.930079293615854,138.27462328429183
NORI_0103,新東名高速道路,新静岡,藤枝岡部,下り線,136.399,136.502,136.4505,103.0,5,34.92889750526701,138.27398939001878
NORI_0104,新東名高速道路,新静岡,藤枝岡部,上り線,136.42,136.506,136.463,86.0,1,34.92879188112297,138.27392078877057
NORI_0105,新東名高速道路,新静岡,藤枝岡部,下り線,136.475,136.534,136.5045,59.0,1,34.92844120896475,138.2736930326266
NORI_0106,新東名高速道路,新静岡,藤枝岡部,上り線,137.179,137.435,137.30700000000002,256.0,2,34.92196456250937,138.26868878624038
NORI_0107,新東名高速道路,新静岡,藤枝岡部,上り線,137.195,137.391,137.293,196.0,8,34.92207027902066,138.26878926101546
NORI_0108,新東名高速道路,新静岡,藤枝岡部,下り線,137.222,137.416,137.31900000000002,194.0,3,34.92187394835684,138.26860266500458
NORI_0109,新東名高速道路,新静岡,藤枝岡部,下り線,137.326,137.541,137.43349999999998,215.0,5,34.92100933831811,138.26778092487973
NORI_0110,新東名高速道路,新静岡,藤枝岡部,上り線,137.391,137.436,137.4135,45.0,2,34.92116036190566,138.26792446027272
NORI_0111,新東名高速道路,新静岡,藤枝岡部,上下線共有,137.528,137.582,137.555,54.0,2,34.92014660433182,138.26682953605754
NORI_0112,新東名高速道路,藤枝岡部,島田金谷,上り線,138.826,139.305,139.0655,479.0,3,34.910625485458645,138.25459422004727
NORI_0113,新東名高速道路,藤枝岡部,島田金谷,上り線,138.84,139.13,138.985,290.0,12,34.91115405315795,138.25517812923644
NORI_0114,新東名高速道路,藤枝岡部,島田金谷,上り線,139.123,139.177,139.14999999999998,54.0,4,34.91007065352584,138.25398129673687
NORI_0115,新東名高速道路,藤枝岡部,島田金谷,上り線,139.176,139.216,139.196,40.0,3,34.90976861484052,138.25364763434305
NORI_0116,新東名高速道路,藤枝岡部,島田金谷,上り線,139.215,139.516,139.3655,301.0,15,34.90860710402531,138.25248804733874
NORI_0117,新東名高速道路,藤枝岡部,島田金谷,下り線,139.21,139.481,139.34550000000002,271.0,7,34.90874596953083,138.25262226119185
NORI_0118,新東名高速道路,藤枝岡部,島田金谷,上り線,139.261,139.344,139.3025,83.0,1,34.90904453036768,138.25291082097607
NORI_0119,新東名高速道路,藤枝岡部,島田金谷,下り線,140.651,140.891,140.77100000000002,240.0,1,34.899217013527334,138.24254136748797
NORI_0120,新東名高速道路,藤枝岡部,島田金谷,下り線,141.751,142.066,141.9085,315.0,2,34.89314818254534,138.2327643473369
NORI_0121,新東名高速道路,藤枝岡部,島田金谷,上り線,141.801,142.121,141.961,320.0,5,34.89290630694837,138.2322799662586
NORI_0122,新東名高速道路,藤枝岡部,島田金谷,上り線,141.823,142.038,141.9305,215.0,3,34.893046825152325,138.23256136859933
NORI_0123,新東名高速道路,藤枝岡部,島田金谷,上り線,142.039,142.529,142.284,490.0,8,34.89155880802863,138.2292054262875
NORI_0124,新東名高速道路,藤枝岡部,島田金谷,下り線,142.138,142.478,142.308,340.0,3,34.891464284669965,138.2289732159457
NORI_0125,新東名高速道路,藤枝岡部,島田金谷,下り線,142.176,142.383,142.27949999999998,207.0,7,34.89157653115838,138.2292489657266
NORI_0126,新東名高速道路,藤枝岡部,島田金谷,上下線共有,142.16,142.462,142.31099999999998,302.0,1,34.89145246925013,138.228944189653
NORI_0127,新東名高速道路,藤枝岡部,島田金谷,下り線,142.34,142.5,142.42000000000002,160.0,4,34.89102317566287,138.22788956768397
